TaskID,Subject,Modality,TaskName,Agonist,Antagonist,CAI
44,GUEA_ses1,Device,JAMAR_Palmar_Grip_(Maintained_force),Bicep,Tricep,72.5434713744064
44,GUEA_ses1,Device,JAMAR_Palmar_Grip_(Maintained_force),DeltAnt,DeltPost,45.2265830259567
4,RABA_ses1,Baseline,Shoulder_Flexion,DeltAnt,DeltPost,88.1885712879321
5,RABA_ses1,Baseline,Elbow_Flexion,Bicep,Tricep,59.414836587721
6,RABA_ses1,Baseline,Pointing_Task,Tricep,Bicep,17.335762938477
6,RABA_ses1,Baseline,Pointing_Task,DeltAnt,DeltPost,34.6998920727926
7,RABA_ses1,Baseline,HFT_Large_Light_Objects,Bicep,Tricep,43.0830845296004
7,RABA_ses1,Baseline,HFT_Large_Light_Objects,DeltAnt,DeltPost,70.018733757336
8,RABA_ses1,Baseline,Switch_Joystick_and_Grid_Game,Bicep,Tricep,33.2327285723686
8,RABA_ses1,Baseline,Switch_Joystick_and_Grid_Game,DeltAnt,DeltPost,43.0962415002372
10,RABA_ses1,Baseline,HFT_Feeding_task,Bicep,Tricep,76.6347891133267
10,RABA_ses1,Baseline,HFT_Feeding_task,DeltAnt,DeltPost,61.2330060061848
11,RABA_ses1,Baseline,Box_and_Blocs_Test,Tricep,Bicep,60.9252109478411
11,RABA_ses1,Baseline,Box_and_Blocs_Test,DeltAnt,DeltPost,64.4162452376772
9,RABA_ses1,Baseline,JAMAR_Palmar_Grip,Bicep,Tricep,68.1139877804556
9,RABA_ses1,Baseline,JAMAR_Palmar_Grip,DeltAnt,DeltPost,78.19065079921
14,RABA_ses1,Device,Shoulder_Flexion,DeltAnt,DeltPost,83.3182582336277
15,RABA_ses1,Device,Elbow_Flexion,Bicep,Tricep,64.9712346894562
17,RABA_ses1,Baseline,Pointing_Task,Tricep,Bicep,33.6907950739279
17,RABA_ses1,Baseline,Pointing_Task,DeltAnt,DeltPost,37.0237334674185
18,RABA_ses1,Baseline,HFT_Large_Light_Objects,Bicep,Tricep,63.6860638686021
18,RABA_ses1,Baseline,HFT_Large_Light_Objects,DeltAnt,DeltPost,70.5456841478651
19,RABA_ses1,Baseline,Switch_Joystick_and_Grid_Game,Bicep,Tricep,58.9143623745669
19,RABA_ses1,Baseline,Switch_Joystick_and_Grid_Game,DeltAnt,DeltPost,56.4259449867366
20,RABA_ses1,Baseline,JAMAR_Palmar_Grip,Bicep,Tricep,69.3687299527237
20,RABA_ses1,Baseline,JAMAR_Palmar_Grip,DeltAnt,DeltPost,66.5652576541929
21,RABA_ses1,Baseline,HFT_Feeding_task,Bicep,Tricep,59.979555185173
21,RABA_ses1,Baseline,HFT_Feeding_task,DeltAnt,DeltPost,57.9640231707587
22,RABA_ses1,Baseline,Box_and_Blocs_Test,Tricep,Bicep,67.219821150344
22,RABA_ses1,Baseline,Box_and_Blocs_Test,DeltAnt,DeltPost,64.7001146810324
25,RABA_ses1,Device,Shoulder_Flexion,DeltAnt,DeltPost,87.6508303637767
26,RABA_ses1,Device,Elbow_Flexion,Bicep,Tricep,57.1446382661263
27,RABA_ses1,Device,Pointing_Task,Tricep,Bicep,30.8164207893266
27,RABA_ses1,Device,Pointing_Task,DeltAnt,DeltPost,56.5483712954765
28,RABA_ses1,Device,HFT_Large_Light_Objects,Bicep,Tricep,60.0898874485063
28,RABA_ses1,Device,HFT_Large_Light_Objects,DeltAnt,DeltPost,67.1431720372641
29,RABA_ses1,Device,Switch_Joystick_and_Grid_Game,Bicep,Tricep,42.9908840995248
29,RABA_ses1,Device,Switch_Joystick_and_Grid_Game,DeltAnt,DeltPost,48.9593830181764
31,RABA_ses1,Baseline,JAMAR_Palmar_Grip,Bicep,Tricep,78.2289827677631
31,RABA_ses1,Baseline,JAMAR_Palmar_Grip,DeltAnt,DeltPost,71.3870545592679
32,RABA_ses1,Baseline,HFT_Feeding_task,Bicep,Tricep,65.7132485460822
32,RABA_ses1,Baseline,HFT_Feeding_task,DeltAnt,DeltPost,60.6554764196068
33,RABA_ses1,Baseline,Box_and_Blocs_Test,Tricep,Bicep,66.0455877210102
33,RABA_ses1,Baseline,Box_and_Blocs_Test,DeltAnt,DeltPost,64.6173794775609
36,RABA_ses1,Device,Shoulder_Flexion,DeltAnt,DeltPost,89.7333741585196
37,RABA_ses1,Device,Elbow_Flexion,Bicep,Tricep,8.44122673012814
38,RABA_ses1,Device,Pointing_Task,Tricep,Bicep,47.9014910265927
38,RABA_ses1,Device,Pointing_Task,DeltAnt,DeltPost,62.3674365767845
39,RABA_ses1,Device,HFT_Large_Light_Objects,Bicep,Tricep,29.4974354697677
39,RABA_ses1,Device,HFT_Large_Light_Objects,DeltAnt,DeltPost,74.534677502256
40,RABA_ses1,Device,Switch_Joystick_and_Grid_Game,Bicep,Tricep,42.0377291658972
40,RABA_ses1,Device,Switch_Joystick_and_Grid_Game,DeltAnt,DeltPost,8.32481516547232
41,RABA_ses1,Device,JAMAR_Palmar_Grip,Bicep,Tricep,76.2556995040548
41,RABA_ses1,Device,JAMAR_Palmar_Grip,DeltAnt,DeltPost,67.1314985190356
42,RABA_ses1,Device,HFT_Feeding_task,Bicep,Tricep,54.9144769216438
42,RABA_ses1,Device,HFT_Feeding_task,DeltAnt,DeltPost,60.6662978999652
43,RABA_ses1,Device,Box_and_Blocs_Test,Tricep,Bicep,67.0495771091396
43,RABA_ses1,Device,Box_and_Blocs_Test,DeltAnt,DeltPost,64.9629046206326
4,GUEA_ses2,Baseline,Shoulder_Flexion,DeltAnt,DeltPost,82.7840530332853
5,GUEA_ses2,Baseline,Elbow_Flexion,Bicep,Tricep,80.7999235280466
6,GUEA_ses2,Baseline,Pointing_Task,Tricep,Bicep,57.9867815472924
6,GUEA_ses2,Baseline,Pointing_Task,DeltAnt,DeltPost,81.0747565107038
7,GUEA_ses2,Baseline,HFT_Large_Light_Objects,Bicep,Tricep,52.25146957391
7,GUEA_ses2,Baseline,HFT_Large_Light_Objects,DeltAnt,DeltPost,74.7311808553881
8,GUEA_ses2,Baseline,Switch_Joystick_and_Grid_Game,Bicep,Tricep,41.4010277350715
8,GUEA_ses2,Baseline,Switch_Joystick_and_Grid_Game,DeltAnt,DeltPost,20.8866774773848
10,GUEA_ses2,Baseline,HFT_Feeding_task,Bicep,Tricep,37.1048717174273
10,GUEA_ses2,Baseline,HFT_Feeding_task,DeltAnt,DeltPost,72.1726512693049
11,GUEA_ses2,Baseline,Box_and_Blocs_Test,Tricep,Bicep,45.5547262413227
11,GUEA_ses2,Baseline,Box_and_Blocs_Test,DeltAnt,DeltPost,42.844747914387
9,GUEA_ses2,Baseline,JAMAR_Palmar_Grip,Bicep,Tricep,67.7875302815973
9,GUEA_ses2,Baseline,JAMAR_Palmar_Grip,DeltAnt,DeltPost,30.595516844801
14,GUEA_ses2,Device,Shoulder_Flexion,DeltAnt,DeltPost,83.8104571880611
15,GUEA_ses2,Device,Elbow_Flexion,Bicep,Tricep,72.0918137573835
17,GUEA_ses2,Baseline,Pointing_Task,Tricep,Bicep,40.130088869914
17,GUEA_ses2,Baseline,Pointing_Task,DeltAnt,DeltPost,50.7737846095303
18,GUEA_ses2,Baseline,HFT_Large_Light_Objects,Bicep,Tricep,52.774129462891
18,GUEA_ses2,Baseline,HFT_Large_Light_Objects,DeltAnt,DeltPost,73.8715978271311
19,GUEA_ses2,Baseline,Switch_Joystick_and_Grid_Game,Bicep,Tricep,61.0383330699073
19,GUEA_ses2,Baseline,Switch_Joystick_and_Grid_Game,DeltAnt,DeltPost,24.0934533542871
20,GUEA_ses2,Baseline,JAMAR_Palmar_Grip,Bicep,Tricep,64.4116272647364
20,GUEA_ses2,Baseline,JAMAR_Palmar_Grip,DeltAnt,DeltPost,43.1601992754077
21,GUEA_ses2,Baseline,HFT_Feeding_task,Bicep,Tricep,37.606126177319
21,GUEA_ses2,Baseline,HFT_Feeding_task,DeltAnt,DeltPost,59.7077639461523
22,GUEA_ses2,Baseline,Box_and_Blocs_Test,Tricep,Bicep,57.2066263048523
22,GUEA_ses2,Baseline,Box_and_Blocs_Test,DeltAnt,DeltPost,44.5462163009296
25,GUEA_ses2,Device,Shoulder_Flexion,DeltAnt,DeltPost,77.7928459118278
26,GUEA_ses2,Device,Elbow_Flexion,Bicep,Tricep,81.2742328231499
27,GUEA_ses2,Device,Pointing_Task,Tricep,Bicep,32.7636499977491
27,GUEA_ses2,Device,Pointing_Task,DeltAnt,DeltPost,38.8504565744281
28,GUEA_ses2,Device,HFT_Large_Light_Objects,Bicep,Tricep,56.2627485231346
28,GUEA_ses2,Device,HFT_Large_Light_Objects,DeltAnt,DeltPost,53.9862104956164
29,GUEA_ses2,Device,Switch_Joystick_and_Grid_Game,Bicep,Tricep,65.7590568982524
29,GUEA_ses2,Device,Switch_Joystick_and_Grid_Game,DeltAnt,DeltPost,64.4927476493458
31,GUEA_ses2,Baseline,JAMAR_Palmar_Grip,Bicep,Tricep,61.9038587430332
31,GUEA_ses2,Baseline,JAMAR_Palmar_Grip,DeltAnt,DeltPost,52.8695716759263
32,GUEA_ses2,Baseline,HFT_Feeding_task,Bicep,Tricep,32.5164036069501
32,GUEA_ses2,Baseline,HFT_Feeding_task,DeltAnt,DeltPost,51.7857937755501
33,GUEA_ses2,Baseline,Box_and_Blocs_Test,Tricep,Bicep,43.9438451603531
33,GUEA_ses2,Baseline,Box_and_Blocs_Test,DeltAnt,DeltPost,47.5271578073649
36,GUEA_ses2,Device,Shoulder_Flexion,DeltAnt,DeltPost,86.642818655458
37,GUEA_ses2,Device,Elbow_Flexion,Bicep,Tricep,23.8867775591733
38,GUEA_ses2,Device,Pointing_Task,Tricep,Bicep,0
38,GUEA_ses2,Device,Pointing_Task,DeltAnt,DeltPost,76.8508146129251
39,GUEA_ses2,Device,HFT_Large_Light_Objects,Bicep,Tricep,20.2062864035197
39,GUEA_ses2,Device,HFT_Large_Light_Objects,DeltAnt,DeltPost,61.0795219361509
40,GUEA_ses2,Device,Switch_Joystick_and_Grid_Game,Bicep,Tricep,10.2034717715012
40,GUEA_ses2,Device,Switch_Joystick_and_Grid_Game,DeltAnt,DeltPost,16.6260720755862
41,GUEA_ses2,Device,JAMAR_Palmar_Grip,Bicep,Tricep,0
41,GUEA_ses2,Device,JAMAR_Palmar_Grip,DeltAnt,DeltPost,52.6603116875277
42,GUEA_ses2,Device,HFT_Feeding_task,Bicep,Tricep,23.449251279736
42,GUEA_ses2,Device,HFT_Feeding_task,DeltAnt,DeltPost,39.3793035162752
43,GUEA_ses2,Device,Box_and_Blocs_Test,Tricep,Bicep,28.1084149709121
43,GUEA_ses2,Device,Box_and_Blocs_Test,DeltAnt,DeltPost,13.0129625913121
4,RABA_ses2,Baseline,Shoulder_Flexion,DeltAnt,DeltPost,80.5835461369433
5,RABA_ses2,Baseline,Elbow_Flexion,Bicep,Tricep,14.0848858222927
6,RABA_ses2,Baseline,Pointing_Task,Tricep,Bicep,11.4318116680312
6,RABA_ses2,Baseline,Pointing_Task,DeltAnt,DeltPost,28.319925302085
7,RABA_ses2,Baseline,HFT_Large_Light_Objects,Bicep,Tricep,41.6167767388433
7,RABA_ses2,Baseline,HFT_Large_Light_Objects,DeltAnt,DeltPost,32.9330969589682
8,RABA_ses2,Baseline,Switch_Joystick_and_Grid_Game,Bicep,Tricep,19.5431092435316
8,RABA_ses2,Baseline,Switch_Joystick_and_Grid_Game,DeltAnt,DeltPost,45.1626138886371
10,RABA_ses2,Baseline,HFT_Feeding_task,Bicep,Tricep,61.549477320626
10,RABA_ses2,Baseline,HFT_Feeding_task,DeltAnt,DeltPost,54.2413039599005
