TaskID,Subject,Modality,TaskName,Muscle,MeanActivation
21,GUEA_ses1,Baseline,HFT_Feeding_task,Bicep,0.000239770689481834
21,GUEA_ses1,Baseline,HFT_Feeding_task,Tricep,0.000263012260998215
21,GUEA_ses1,Baseline,HFT_Feeding_task,DeltAnt,0.000410818947405241
21,GUEA_ses1,Baseline,HFT_Feeding_task,DeltPost,0.000215250736196906
22,GUEA_ses1,Baseline,Box_and_Blocs_Test,Bicep,0.00023588353962253
22,GUEA_ses1,Baseline,Box_and_Blocs_Test,Tricep,0.00023485607221033
22,GUEA_ses1,Baseline,Box_and_Blocs_Test,DeltAnt,0.000552085205577854
22,GUEA_ses1,Baseline,Box_and_Blocs_Test,DeltPost,0.000569653917236224
24,GUEA_ses1,Device,Rest,Bicep,6.23021518773567e-06
24,GUEA_ses1,Device,Rest,Tricep,6.9051292636391e-06
24,GUEA_ses1,Device,Rest,DeltAnt,2.38669774533923e-06
24,GUEA_ses1,Device,Rest,DeltPost,1.34236560848205e-06
25,GUEA_ses1,Device,Shoulder_Flexion,Bicep,0.000105411783835516
25,GUEA_ses1,Device,Shoulder_Flexion,Tricep,0.000101514211195892
25,GUEA_ses1,Device,Shoulder_Flexion,DeltAnt,0.00461393759058184
25,GUEA_ses1,Device,Shoulder_Flexion,DeltPost,0.00032404220471164
26,GUEA_ses1,Device,Elbow_Flexion,Bicep,0.000612100809265031
26,GUEA_ses1,Device,Elbow_Flexion,Tricep,0.000190074502356207
26,GUEA_ses1,Device,Elbow_Flexion,DeltAnt,0.00181272466789771
26,GUEA_ses1,Device,Elbow_Flexion,DeltPost,3.90332399255369e-06
27,GUEA_ses1,Device,Pointing_Task,Bicep,3.22505139411142e-05
27,GUEA_ses1,Device,Pointing_Task,Tricep,0.000148530577913136
27,GUEA_ses1,Device,Pointing_Task,DeltAnt,0.000673855866071499
27,GUEA_ses1,Device,Pointing_Task,DeltPost,3.59194051513814e-05
28,GUEA_ses1,Device,HFT_Large_Light_Objects,Bicep,0.000564511865767089
28,GUEA_ses1,Device,HFT_Large_Light_Objects,Tricep,0.000271408403920526
28,GUEA_ses1,Device,HFT_Large_Light_Objects,DeltAnt,0.000260955319134994
28,GUEA_ses1,Device,HFT_Large_Light_Objects,DeltPost,9.59638501153176e-05
29,GUEA_ses1,Device,Switch_Joystick_and_Grid_Game,Bicep,3.41998614969025e-05
